sentiment,text_preprocessed
0,salam jari bawa damai
0,capres cawapres nomor urut anies baswedan muhaimin iskandar bertemu kafe berangkat jcc arena debat capres ard
1,terampil hukum mahfud payung hukum kuat lanjut investasi era ganjar memahfud top
0,kumpul momen asyik ganjar hadap anies prabowo debat tiga respek ketua penguin
1,selamat pagi warga kali tanah selesai tonton debat malam deg an sesak nafas jantung bawa emosi anies rocks debat capres
1,semangat pantang debat semangat kasih dukung ganjar
0,sambung blok blokk
0,nil nil bangun tidur miring
0,maksud gestur muka iya
0,prabowo si gibran bahas ekonomi
0,bandung dukung ganjar mahfud
1,ganjar mahfud tawar solusi konkret sederhana formulir prosedur bayar pajak warga juara
1,solid anies muhaimin menang
1,anies masuk akal
0,mas anies orang miskin mas anies rela mati bangsa takut jabat mas anies
0,video pas pakai baju ungu betina nama rosan cerita jabat prabowo presiden terang tulis seret seret nama hasto kristiyanto kuat alibi somplak ini betina
1,ganjar mahfud ubah stigma negatif bayar pajak tindakan positif patut contoh top
0,hukum sah kpu putus mkmk dkpp proses cacat etika putus henti jabat ketua satu ingat keras ketua kpu kait etika pelolosan daftar gibran
1,mantap ganjar
-1,slepet slepet omong kosong muhaimin yakin pimpin bijak selamat mahfud mas gibran cak imin
1,pilih kerucut anies cak imin ganjar mahfud
0,akui tuju dapat papua capres paham geopolitik tiga paslon akui prabowo orang
1,iya presiden wajah bangsa muka internasional pribadi malu wajah wakil anies
0,pandang muhaimin kait tingkat investasi bicara peran umkm
0,mas gibran mas kaesang kompak hadir lomba senam gemoi
1,ganjar mahfud cipta terobos regulasi dukung tumbuh dagang lanjut top sat set
0,partai senin bilang a selasa ubah b aneh
0,gibran anies geleng geleng kepala beliau sangka serang personal kak prabowo balas gibr kak cak imin
1,anies muhaimin pakai jas cocok presiden wakil presiden
0,anies hebat anjir beliau omong deg degan
0,pilih anies muhaimin
0,ganjar sayang dukung menang putar
0,contoh cuit bohong hati
0,musim hujan demam amin
0,adik perindo dukung ganjar gabung apa partai sandera
0,masalah etika orang jaga etika orang etika indonesia tinggal pilih
0,main korban anjir capai lihat tangkal anies kocak kocak
0,asli seru sayang anies coba diskusi bagus kayak
0,iya bahas sukses iya debat esensi situ program gagal jalan tangkal paslon
0,gus muhaimin ikut debat cawapres selenggara kpu jumat desember wib kantor kpu jakarta tema debat cawapres ekonomi
1,dukung ganjar lihat anies ganjar tokoh bangsa santun keluarga intelek etika
0,prabowo pintar iya lawan kelas bapak gibran lawan aktivis keringat dingin ha
1,konsolidasi laskar santri gresik target anies gus muhaimin menang persen
0,ganjar mahfud asli sepakat solusi sehat mental kreatif responsif nomor darurat bukti visi misi ganjar memahfud
1,pesan jokowi gelar doa menang prabowo mas gibran moga doa kabul rakyat indonesia doa menang prabowo mas gibr
0,hati kotor fakta jis bersih dukung abah anies
-1,manuver gibran sentil cak imin mahfud debat capres potong tumpeng ikn googling
0,paham posisi oposisi perin antitesis jokowi ganjar prabowo selogan lanjut sasar tembak anies asyik serang takut substansi hilang penyampaian nya diakui bagus retorika oke
1,sehat semangat sukses ganjar mahfud maju indonesia maju
1,dedikasi komitmen ganjar mahfud bangun fondasi dagang kuat inklusif juara
1,amat target jokowi jadi indonesia negara ekonomi maju demokrasi kompromi prabowo anggap cocok
0,momen debat pilpres istri anies muhaimin swafoto bareng siti atikoh puan maharani
0,gibran selebrasi tepuk samsul iya
0,ancen jare serah pilih sing anies
1,capres janji manis mulut ganjar mahfud gagas hebat semangat ganjar ganjar hajar koruptor ganjar sikat koruptor ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
0,slepetnomic bangun pakai hati pakai otak debat capres malam anies tekad papar visi misi pakai hati pakai otak
0,deg degan prabowo kali debat mudah mudah anies ganjar baik hati bikin prabowo tangis tangis putar selesai
1,ganjar mahfud sorot tajam sistem paja sorot sulit warga paham atur kompleks juara
0,gibran latih tanya spontan gelagap sayang pakai gaya prabowo coba pakai gaya bapak mahfud md orang profesional ahli ahli hukum muhaimin koman slepet slepet
0,beli percaya orang kali iya kutip nyata ganjar pas debat jejak digital bohong
1,ganjar mudah izin guna sistem digital mudah nelayan
0,pilpres persis jadi coblos jokowi amin pelakunya orang orang prabowo indonesia kakak curang curang laku bantu kuasa
0,bangga iya bodoh posisi dukung malu prabowo makan malam presiden isu tidak netral
1,anies muhaimin presiden
0,maksud prabowo bicara hilirisasi kuasa ekonomi hukum tani tambang bija negeri bija negeri pokok nya hilirisas
0,bocil stres berat lihat kakek sugiwo marah marah
1,sama pks anies muhaimin modal bangun indonesia adil pilih pks coblos amin
0,maaf mbak salah
0,profesor mahfud lawan debat bocil gibran lawan lawak teman level junjung etika
0,iya kecewa beliau sih ganjar
0,ambisi presiden dukung maju ubah orang kuasa dukung kali habis joget orang lupa omong gampang bang jokowi gibran
0,lucu sih iya
1,gus muhaimin slepetnomic bangun indonesia pakai hati otak
0,paslon nomor urut anies baswedan muhaimin iskandar cak imin lokasi debat kompak kena jas peci warna hitam debat seru saksi
1,ganjar mahfud indonesia depan
0,jilat bakat
0,ganjar mahfud paham urgensi sehat mental solusi rasa lapis masyarakat visi misi ganjar memahfud
0,ganjar mahfud
0,indonesia universitas jurus tani peternakan
0,gibran karbon tangkap klarifikasi mahfud
1,suami bilang anies salah salah pilih wakil ha aduh kasihan si ini partai banteng
0,gibran anak mama
1,strategi diplomasi ekonomi cerdas ganjar mahfud angkat citra dagang indonesia mata dunia juara sat set
1,baik prabowo gibran tanding
0,konyol anjir lucu gibran ejek mahfud
0,salah teman said anies kerja jakarta jabat gubernur bersih pas masa kotor ulang ulang tanggap naik nada bicara alias bentak
1,ganjar mahfud pasang milik rekam jejak nyata tingkat tata kelola uang hebat
0,gibran cawapres hasil pelanggaran paman usman copot jabat ketua beliau salah
0,twitter anak muda dukung anies iya
-1,tolak prabowo gibran pilih anies ganjar anies lanjut putar
1,duet ganjar mahfud kunci indonesia adil makmur visi misi ganjar memahfud
0,gede buzer prabowo perak
-1,anies sebal pilih patah hati besar anies iya pas pilih imin
0,main bandar ha menang aneh anjir juta ganjar bandar ha
0,sayang benang cari alas jokowi maju gibran polemik gambar pribadi jokow polemik gibr polemik gibr hina zaman reformasi poin
0,calon pimpin rakyat sapa rakyat nya kampung semangat ganjar ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
0,hasil contoh etika anak sulung politik murah receh muak
1,pks anies muhaimin pimpin mengedepankan penting rakyat bija pilih pks coblos amin
0,ini putar langsung nyungsep masuk putar versus
1,ganjar mahfud kuat diplomasi ekonomi diversifikasi pasar ekspor indonesia juara sat set
0,ciah bawa asa debat anies kritik kinerja gubernur jakarta ganjar gubernur jateng gilir pbw kritik kinerja menteri terima cih
0,rundung prabowo asa kemarin si samsul mutu debat sambung
0,fakta nyata muhaimin gibran mahfud debat cawapres
0,gibran titip jokowi prabowo etis bangsa kongkalikong anies warga negara integritas malu oportunis sejat
1,pimpin sambut ganjar
1,semangat debat ganjar lancar mudah penuh harap depan
-1,prabowo pintar omong dakik dakik anies beliau pintar kerja bangsa
0,instruksi mata
1,suka ganjar bu atikoh apa
-1,muhaimin lepet kebanyakan gibran pintar mahfud normatif
1,prabowo jadi indonesia negara daya pengaruh tingkat global buka yakin beliau milik visi lampau batas batas
-1,gibran anggap gus muhaimin konsisten ucap memuhaim potong tumpeng ikn dukung ikn damping anies baswedan
-1,anies munafik dukung
1,gambar benci prabowo penyerangan personal opini
1,gibran bagus
0,ganjar
-1,cawapres gus muhaimin butuh modal usaha negara pinjam pinjol sulit modal usaha gerak ekonomi loyo
0,ismail ini plek timpa anies pas muda cakap
1,prabowo ulang kali tuju dapat anies debat capres
0,sistem pendidikan nasional beda dapat sambung anies pecat jabat
1,ganjar mahfud fokus tingkat terampil kapasitas sdm sektor dagang top sat set
0,hilang orang lo
0,profesor anies slepet pakai sarung cak imin respek
1,ragu temu calon pimpin bawa adil makmur sejahtera angkat bangga indonesia mata dunia anies muhaimin
1,coblos abah gus muhaimin tps ayo abah anies rocks debat capres
1,anies muhaimin presiden ayo pilih pasang amin amin kembali posisi indonesia pelaku utama konstelasi global indonesia hadir tonton indonesia hadir tentu arah damai makmur
1,fokus anies muhaimin tingkat sejahtera sosial dekat multi sektor target turun tingkat miskin maret cc
0,makna tenggelam bahasa isyarat anies teman teman tuna rungu
1,ganjar mahfud jadi paja wujud kontribusi positif tanggung moral warga juara sat set
0,dosa kali jang
0,milik semangat penuh gimik
1,komitmen anies muhaimin libat penyelesaian konflik masalah ham
1,visi anies muhaimin cipta kawasan ramah anak sedia ruang buka hijau bangun fasilitas publik aman anak anak
-1,heboh dukung anies imin respon kubu prabowo ganjar
1,nyata anies pimpin dunia akhirat
1,jago prabowo bawa menang nama adil
1,ganjar mahfud cipta atmosfer warga penuh wajib pajak harga dukung sistem paja top
0,bodoh biar masif penyadaran laku dua tebar tuai pelihara suruh cebok ha
-1,pimpin prabowo tutup mata kurang gibran ew
1,keren iya anies kesima
0,prabowo hormat cak durian ajak masuk gerbong perin kalah biar benar oposisi
-1,anies menteri pecat
1,prabowo gibran pancar aura positif
0,gibran mahfud imin v
0,ganjar mahfud cipta momentum tangan isu lindung sosial indonesia visi misi ganjar memahfud
1,ganjar mahfud md debat capres cawapres debat capres ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
1,ganjar mahfud reformasi paja ubah atur cipta ubah budaya juara sat set
0,korupsi bahas asa prabowo serang ini kena kasus etika politik
0,gibran hadir degradasi prabowo
-1,iya muhaimin iskandar politikus etika
0,cawapres nomor urut muhaimin iskandar gus memuhaim ikut debat cawapres selenggara kpu jumat desember wib kantor kpu jakarta
0,cak imin godok timses les ketat anies patut syukur tingkat performa debat kali
0,milu kali daftar kasihan kasih prabowo subianto mahfud md muhaimin iskandar sehat iya
0,gibran gerakan indonesia anies baswedan
0,kasih narasi jembatan langsung tembak istilah singkat konteks awal jembatan gus muhaimin ketua partai pkb paham pkb identik
1,prabowo gibran komitmen layan indonesia penuh dedikasi
0,dukung ganjar mahfud
0,kemarin kemarin anies prabowo emosi bahas anies gubernur usung sambung
0,anies huni indekos kritik jaga indekos emak emak ribat menang
0,pasang anies mahfud
0,lihat substansi bicara gibran bagus hafal teknis gus imin profesor mahfud bicara normatif substantif level wapres substantif
0,visi misi beliau kali kali papar desak anies pasang undang dialog gali isi kepala gilir lempar visi misi sadar masyarakat fakta pahit main korban
1,ganjar anies prajurit berani bicara paten
1,gus muhaimin pkb mantap
0,program nya ganjar mahfud bagus manfaat masyarakat
1,kredibilitas mahfud jamin investor asing tanam modal indonesia ganjar top sat set
1,debat capres malam presiden ganjar mahfud cocok hadap situasi geopolitik utara
0,sumpah keren muhaimin memuhaim kandar
0,esensial gibran mahfud atur regulasi css emisi karbon
1,prabowo peduli rakyat indonesia pimpin tulus indonesia negara maju sejahtera
-1,kocak anies salat imam depan salat video ini paslon bawa agama citra
-1,prabowo gibran kebelet otot menang putar jahat ham kalah putar jahat ham nepotis anak laki laki etika
1,pokok nya pdip mantap ganjar pranowo
0,iya iya suruh minum air aki dukung prabowo
0,iya min salah juta ribu hektar anies kurang kurang kepemilikan tanah
0,pilih capres model katai gaza begitu maaf ruang klarifikasi maaf salah pilih cc komendan tim ingat iya
-1,kait minoritas trauma gandeng anies gubernur
0,lo bodoh gibran pergi izin nya
0,kampus gerak sejahtera sosial budaya pendidikan teknologi informasi sehat tenaga kerja sumber daya manusia inklusi anies muhaimin
0,ini anak muda mahasiswa mahasiswi acara desak anies slepet imin tabrak mahfud turun orang orang pilih orang minggu
-1,gibran lawan anies iya anies lumat habis
0,prabowo hebat
0,koplakmu keduwuran
1,ganjar mahfud rancang strategi kelola anggar cerdas prioritas sektor sektor butuh perhati khusus top
0,gus raharjo ganjar hebat ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
1,anies publik nilai bobot level hafal cerdas cermat ideologi gagas
-1,anies baswedan orang hidup poin buka ruang debat pengaruh anak anak muda zaman kritis
1,rangkum debat pilpres perdana anies sindir hukum bengkok debat panas lawan prabowo
0,warga tenteram mas gibran wakil presiden sejahtera rakyat prioritas program mas gibr
0,oke gas mantap
1,ganjar mahfud tawar paradigma dagang lanjut ramah lingkung top
0,sedih lihat dukung bocil etika coba janji menteri dapat kait sikap debat malam ayo pers
1,bocor main lembaga survei anies kalah survei ubah video
0,bayang anies debat lawan gibran imin dislepet pintar anies
0,tkn dengar kubu koalisi hadap isu putar prabowo gibran
0,balik
-1,ganjar bilang pimpin contoh contoh sepei suka tonton bokep korupsi e ktp kali iya ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
0,mbak
1,jokowi serang mantap pilih gibran
1,ganjar mahfud kejar efektivitas program bangun jalan juara sat set
1,program anies muhaimin rancang bija transportasi ramah lingkung luas jaring transportasi publik kurang dampak karbon transportasi
1,duo prabowo gibran cepat aksi kerja nyata omong
0,prabowo pas debat ajar sih ha
0,tanam singkong tumbuh jagung omong omon tukang bohong ha
1,alhamdulillah gus muhaimin meresponnya
1,orang orang takut iya presiden bayang bija amit amit
0,untung anak jokowi zaman coba muhaimin baikan jokow zaman om sosmed suruh bersih bersih muka
0,dukung penuh ganjar deh
0,bang bang teman nya anies
0,semangat mahfud
-1,buta mata telinga orang jakarta paham anies jakarta
0,putus zaman megatron calon ubah ubah iya hakim putus dasar voting gibran pdi partai usul rubah atur umur calon
0,mahfud dukung anies muhaimin pilpres simpatisan debat malam bilang receh si bocil sombong moga sehat memahfud
0,coba merah meriah euy bismillah pilih nomor ganjar pranowo mahfud md warna merah meriah
0,rusia hak veto nya banding ukraina ha lawak
0,gibran tenang prabowo tenang prabowo malu
0,syaikhuna kah luthfi bashori nu kultural ubah aktivis garis lurus anies muhaimin
1,anies muhaimin pks solusi nyata sosial hadap masyarakat pilih pks coblos amin
1,konser penuh sesak gbk nanda ganjar mahfud magnet dukung sejahtera lipat ganda indonesia makmur sentosa
0,jegal pesawat tumpang larang darat anies batal bertemu dukung morowali apa semangat
0,kata hati jujur et puji tulus salah alamat anak kapabilitas mumpuni benam tokoh tokoh potensial anak presiden hamba
0,klasemen anies muhaimin prabowo gibran ganjar mahfud manchester serikat
0,ganjar atur negara megawati boneka ganjar mahfud laksana perintah ndoro mega
0,simak tutup nyata anies debat malam teman bicara warung kopi orang pikir wawas anies pilih orang indonesia cari
1,pilih capres anies muhaimin
0,solusi bangsa etika moral pelaksanaan hukum sungguh sungguh rakyat indonesia anies gus imin letak etika moral kunci utama jadi hukum kuasa negara arti nya berlaku
1,ganjar mahfud buka wawas masalah paja sorot kerumit bayar pajak rasa warga indonesia juara
1,ganjar mahfud lanjut dagang untung elit sejahtera masyarakat hebat
1,ganjar kerja sat set sat set
0,maju seni budaya embang bahana seantero dunia rencana anies muhaimin
1,visi ganjar mahfud indonesia unggul janji visi misi ganjar memahfud
0,debat anak sd lihat anak sd
0,pilih ah ganjar mahfud sat set sat set indonesia emas
0,gibran rakabuming tanggap ikn mahfud md muhaimin iskandar video youtube tv tempo
0,alhamdulillah ganjar orang ramah masyarakat
1,ganjar mahfud mempromosikan kerja internasional untung buka pintu peluang eksportir indonesia juara
0,ciri khas pemuda pendidikan akhlak moral iya kadang otak slepet
0,senang beliau tinggal papua pilih beliau kader partai orang asli papua gibran kemarin warga sambut jokowi sayang rakyat papua
1,sadar mampu muhaimin
0,mentang mentang akrab mahfud abang enak enak beliau mundur abang mamat multi tugas
0,indonesia darurat etika
1,anies hati hati omong prabowo
0,cak imin catat gibran tegang
0,narasi mbadok rakyat anggap makhluk lapar bodoh pilih lapar maaf tanggal februari keluarga pilih anies muhaimin
-1,muhaimin nya lawak
0,orang bodoh bodoh profesor bilang pintar datau salah dukung anies si genius jagat indonesia
0,anies mahfud prabowo muhaimin ganjar gibran
-1,mas gibran debat malam nilai rapor muhaimin gibr mahfud
1,pimpin ganjar mahfud cipta momentum positif pulih ekonomi nasional sektor dagang hebat sat set
0,anies muhaimin dukung libat masyarakat pelestarian lingkung integral sejahtera sosial anies presiden pks partai
1,mas gibran sosok pintar pimpin
1,anies debat isi forum internasional minimal riset
0,hore barang bukti bang bukti langgar nya raden mas lihat
1,visi anies muhaimin sedia akses rumah layak masyarakat hasil rendah bangun rumah susun jangkau perhati butuh rumah lanjut
-1,semenjak milu aktif kali sih sakit tiktok kinerja prabowo bagus hilang pelanggaran berat kampanye milu kali ku anggap orang orang sakit dukung prabowo ha maaf
1,ganjar mahfud jamin bawa era transparansi akuntabilitas janji nyata wujud top sat set
0,tonton nya beda
-1,tolak keras prabowo presiden
1,dukung ganjar mahfud kondisi apa
0,debat capres anies haland mode kota musim prabowo onana mu ganjar hakim garis liga indonesia
0,atur prabowo ide malam tuju tuju ganjar prabowo dominan tema erat kait beliau
0,nama debat paslon visi misi rencana rencana depan laksana anies bilang bebas kritik tagih janji beliau hak rakyat
0,ganjar akui keren cadas sepakat bantu anies serang prabowo akar akar salut
0,nilai rendah guru guru dunia akhirat prabowo nilai anies ganjar mahfud
0,sukses ganjar jalan indekos indekos kantor
0,kapai sih orang usaha negara nya maju pilih negara mundur
1,wujud indonesia emas ganjar mahfud gaspol
1,ganjar mahfud duo bawa harap aksi nyata jaga lanjut hidup bumi
0,data fakta bilang serang bohong prabowo membantah etika salah kriteria pimpin bilang serang personal kubu nafsu kuasa laga pikir jernih
0,iya mbak gibran laku gibr wakil anak muda paman hakim presiden jabat rubah uu maju cawapres laku iya
0,momen anies sindir etika gibran cawapres prabowo bicara etik
0,profesor eh tuhan profesor malaikat sul samsul gaya bakul
0,minimum esensial paksa fakta mef indonesia data menteri koordinator politik hukum aman kemenko polhukam mef indonesia cenderung alami kenaikan data publikasi gaspol prabowo gibran
1,ganjar mahfud bawa lanjut positif
1,tutup debat capres prabowo anggap anies muhaimin mas ganjar profesor mahfud saudara saudara
1,visi ganjar mahfud investor mudah paham kondisi fundamental usaha ambil putus investasi juara
1,anies asli gagas
1,merah berani kibar iring langka langka ganjar pranowo mahfud md istana nya
0,bersih idealis repot repot keluar coreng nama duga timses amin ganjar tuju status duga paslon biar larut larut
0,opsi keringat dingin
0,semangat mari dukung atikoh oke ganjar menang pilpres
0,main rusun rusun dar zaman anies enak rusunnya tata rapi rasa
1,lang ganjar
0,ubah masyarakat indonesia coblos nomor anies muhaimin visi misi
0,kepala gemoi adab menteri sopan
1,maju pantang mundur dukung ganjar peduli masyarakat
0,asa nomor tum perindo media tv lo ganjar muncul iklan azan master koki mana inews cari momen buzer negatif orang pantas nyungsep
0,lelah kayak hapus instalan twitter prabowo gibran presiden wakil presiden indonesia
0,doa harap ganjar mahfud menang putar
0,gibran pakai kacamata lepas pakai kontak lensa
1,ganjar mahfud rancang bija pelatihan embang tingkat terampil tenaga kerja sektor dagang hebat
0,ragu mantap pilih ganjar mahfud
0,debat malam pilih paslon rakyat ri waras
1,ganjar mahfud cipta hubung untung warga perin konteks paja top
1,program anies muhaimin dorong inovasi teknologi pendidikan luas akses digital sekolah sedia pelatihan ahli digital
0,moga ganjar sehat indonesia maju beliau
1,ganjar mahfud cipta hubung simbiosis mutualisme perin warga konteks paja juara sat set
0,anjir pelangi anti prabowo pro israel
0,prabowo sempoyong layak presiden emosi nya labil
0,muhaimin debat cawapres harap ekonom
0,iya sini hilang respek prabowo kecewa
0,kocak anjing anying iya omong kasihan prabowo tim nya malu
1,dukung rakyat ganjar mahfud kokoh janji jadi internat rata jangkau ganjar pranowo bukti sejahtera
1,anies ucap dasar temu data pemgalaman nyata bicara runtun wawas luas iya serang emosional wawas cemar lingkung minim anies juara debat kpu
1,gibran kongkrit
0,israel bantu ethiopia tani hasil ethiopia salah lumbung pangan afrika dengar ethiopia lapar
0,paham sih israel amerika china uk incar indonesia indonesia lemah tahan kasih contoh nyata terima tunggu jajah
1,mantap anies muhaimin
1,bija rencana ganjar mahfud optimal potensi dagang negeri hebat
-1,ngeri ngeri sedap
1,bagus debat
0,tele nya
0,pilpres kompromi salah satu iya koalisi imin im jatim akar rumput ragu nama anies coba aman suara basis akar rumput jatim jateng
0,presentasi menang putar pasang prabowo gibran
0,anti gibran omong etika etika terima kelompok makzul atas kantor resmi perin makzul
0,ganjar mahfud indonesia maju
0,ganjar rakyat dukung doa moga niat tulus panjenengan rida allah allah percaya pimpin negara panjeneng profesor mahfud amin iya rabbal alami
0,gagas hilirisasi capai bohong
0,cawapres abal abal sampah
0,orang dapat fakta lapang insya allah anies muhaimin pimpin
1,lanjut ganjar mahfud cipta iklim usaha kondusif kuat fondasi dagang nasional top
0,malam pakai matahari kalah taunting taunting salah ceroboh manfaat pisah dorong menara cak imin menang
0,oalah anies sama gibran ha
0,gerak takut ubah indonesia emas anies muhaimin
0,omong omong jalur bus ramai iya orang anies dengar prabowo ganjar survei buncit konsep menang nya
0,prestasi prabowo tempeleng susilo bambang yudhoyono koalisi
0,ha lihat muka badan bocil gibran sikap otak bocil iya
0,cowok kapten timnas amin kufur pilih anies muhaimin
0,kak alas jokowi masa perombakan nya anies total menteri undang jokow istana presiden anies alas
0,gibran orang iseng mahfud imin ribut adab ganjar anies iseng prabowo diam den bangga sih adab
1,diakui anies baswedan capres baik capres
0,si gibran alias samsul alias belimbing sayur sok sokan serang pakai istilah asing salah sebut
0,panggang prabowo iya biar panggang ha
0,lo kemarin tema debat pelayanan publik prabowo serang anies habis habis bidang nya prabowo tanggung anggar wewenangnya menhan salah nya kritik data
1,amin indonesia selamat anies muhaimin
