full_text,sentiment,clean_full_text,word_count
@majedub596 Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yg di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju,netral,  Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yang di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju ,29
Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia... #AMINAjaDulu #AniesUnggul #PakaiOtakHati @aniesbaswedan @cakimiNOW https://t.co/upNFim6YtV,netral, Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia...       ,11
Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu. https://t.co/HZx2uMLT1j,positif, Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu.  ,25
@Megatop99 @yon_djawir Di tempat kami cm usil aja mas Gibran nya https://t.co/fZkH21BpXk,netral,   Di tempat kami cuma  usil saja mas Gibran nya  ,9
@Tita83079013 @aniesbaswedan @prabowo @ganjarpranowo Hm......gituh??? Abah komen dlm hati ajah nak! Soalnye....seyeemmmm!,netral,     Hm......gituh??? Abah komen dalam  hati saja nak! Soalnye....seyeemmmm! ,8
Memang Carbon Capture Storage relatif sesuatu yg baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya mmg blm diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik.,netral, Memang Carbon Capture Storage relatif sesuatu yang baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya memang  belum  diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik. ,36
Sebanyak 43 9% pendukung Jokowi di 2019 memilih paslon dari Koalisi Indonesia Maju. Kemudian 35 2% mendukung Ganjar-Mahfud dan segelintir lainnya yakni 14 4% lainnya memilih Anies-Muhaimin.,netral, Sebanyak 43 9% pendukung Jokowi di 2019 memilih paslon dari Koalisi Indonesia Maju. Kemudian 35 2% mendukung Ganjar-Mahfud dan segelintir lainnya yakni 14 4% lainnya memilih Anies-Muhaimin. ,27
@ganjarpranowo Keterlibatan Pak Ganjar dalam kunjungan ke Katedral Bogor menunjukkan sikap inklusif dan toleran terhadap perbedaan agama menciptakan suasana saling penghargaan antara pemerintah dan tokoh agama.,positif,  Keterlibatan Pak Ganjar dalam kunjungan ke Katedral Bogor menunjukkan sikap inklusif dan toleran terhadap perbedaan agama menciptakan suasana saling penghargaan antara pemerintah dan tokoh agama. ,25
@tvOneNews Ini baru pasangan favoritku pak Prabowo dan mas Gibran,positif,  Ini baru pasangan favoritku pak Prabowo dan mas Gibran ,9
Gibran lebih parah cok debat capres mah cuma kritik kinerja dan nilai kinerja owo doang.,netral, Gibran lebih parah cok debat capres mah cuma kritik kinerja dan nilai kinerja prabowo doang. ,15
@strike_bravo_b Bulikku pendukung Cak Imin lihat Gibran gak sopan dan kemlinthi ke Mahfud terus ; Ngomonge ngunu banget yo? Koyok gak nduwe toto kromo ora sopan blas. IT'S OVER.,netral,  Bulikku pendukung Cak Imin lihat Gibran tidak sopan dan kemlinthi ke Mahfud terus ; Ngomonge ngunu sekali  yo? Koyok tidak nduwe tata krama tidak sopan blas. IT'S OVER. ,28
@davidfong_ Pendukung nya Prabowo GK malu ya bilang etika Mulu padahal paslonnya aja melanggar etika,netral,  Pendukung nya Prabowo GK malu ya bilang etika Mulu padahal paslonnya saja melanggar etika ,14
@anneserlo Ganjar menang,positif,  Ganjar menang ,2
HOTLINE PENGACARA GRATIS (HOTLINE PARIS) Bantuan pengacara gratis (PARIS) untuk kasus pidana dan perdata melalui Hotline 24 Jam. Ayo Lebih Baik! Bersama Anies Baswedan dan Muhaimin Iskandar. Bersama #PKSmenangAMIN PilihPKS CoblosAMIN @PKSejahtera @syaikhu_ahmad https://t.co/G9JEc3Iwxa,positif, HOTLINE PENGACARA GRATIS (HOTLINE PARIS) Bantuan pengacara gratis (PARIS) untuk kasus pidana dan perdata melalui Hotline 24 Jam. Ayo Lebih Baik! Bersama Anies Baswedan dan Muhaimin Iskandar. Bersama  PilihPKS CoblosAMIN    ,30
@ganjarpranowo Bener banget pak bahagia sekali BS berkumpul sambil bercanda apa lagi ngobrol bareng pak Ganjar ,negatif,  Bener sekali  pak bahagia sekali BS berkumpul sambil bercanda apa lagi bicara  bareng pak Ganjar  ,15
@CNNIndonesia lah mw di samperin ama anies malah udah kabur duluan ,netral,  lah mau  di samperi sama  anies malah sudah kabur duluan  ,10
@dhiendaln Inget bngt Anies kasih poin 11/100 Karena Prabowo bilang kalo Anies Gak pantes ngomong Etik sangat tidak sopan,netral,  Inget sangat  Anies kasih poin 11/100 Karena Prabowo bilang kalau Anies Gak pantas omong Etik sangat tidak sopan ,18
@_Cheesetea_ @ruthnats Ya rakyat sih g melihat begitu.. krn scra umum anies ckp dekat sampe tb2 diputus,netral,   Ya rakyat sih tidak melihat begitu.. karena  secara umum anies cukup  dekat sampai tiba tiba diputus ,16
@Fahmi_Ismail87 Alhamdulillah.. hihi,positif,  Alhamdulillah.. ha ,2
Ganjar-Mahfud ingin membangun fondasi yang kokoh bagi pertumbuhan ekonomi jangka panjang dengan menciptakan aturan yang baik. @senwahh_h Juara ! Sat Set https://t.co/a1hYLvZDXB,positif, Ganjar-Mahfud ingin membangun fondasi yang kokoh bagi pertumbuhan ekonomi jangka panjang dengan menciptakan aturan yang baik.  Juara ! Sat Set  ,20
@VIVAcoid Ga respek sama sekali ke no 2 lebih baik dukung nomor 1 deh. Kalau tidak berhasil ada Ganjar yang pantas dipilih https://t.co/piGNRq6jfL,netral,  Ga respek sama sekali ke tidak 2 lebih baik dukung nomor 1 deh. Kalau tidak berhasil ada Ganjar yang pantas dipilih  ,21
@OliviaCath1540 Ya emang harus diakui Prabowo memiliki kesabaran yg sangat tinggi...diruang debat !!! Abis tu diluar debat mulutnya gak karuan melebihi mulut anak kecil yg sedang merengek minta permen ,negatif,  Ya memang harus diakui Prabowo memiliki kesabaran yang sangat tinggi...diruang debat !!! Abis itu  di luar debat mulutnya tidak karuan melebihi mulut anak kecil yang sedang merengek meminta permen  ,29
@TxtdariHI @ganjarpranowo @aniesbaswedan @prabowo Mau sampai akhir pun tetep Ganjar nomor 1 di hati masyarakat #GanjarMahfudM3nangDebat,netral,     Mau sampai akhir pun tetap Ganjar nomor 1 di hati masyarakat  ,11
Dalam Ganjar-Mahfud rakyat melihat pemimpin yang tidak hanya berkomitmen pada keberlanjutan tetapi juga pada keadilan sosial. @woohohojjang Hebat ! Sat Set https://t.co/HAVJPdOEJ9,positif, Dalam Ganjar-Mahfud rakyat melihat pemimpin yang tidak hanya berkomitmen pada keberlanjutan tetapi juga pada keadilan sosial.  Hebat ! Sat Set  ,20
@joko_maryadi @DedynurPalakka @ganjarpranowo @mohmahfudmd @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet Koalisi lemah...,netral,         Koalisi lemah... ,2
@detikcom Sudah tinggal pelantikan saja Anies Muhaimin .,positif,  Sudah tinggal pelantikan saja Anies Muhaimin . ,7
@ganjarpranowo Bismillah Ganjar Mahfud yang akan memimpin Indonesia,positif,  Bismillah Ganjar Mahfud yang akan memimpin Indonesia ,7
@_chich23 @tesfaying @neohistoria_id Klo sepengamatanku ini strategi anis sih dia ngeliat debat sebelumnya pak prab suka kepancing emosi. Jadi memang keknya sedari awal pak anis sudah niat untuk agresif utamanya juga untuk menghindari kejadian di gibran dan muhaimin,netral,    Klo sepengamatanku ini strategi anies sih dia melihat debat sebelumnya pak prabowo suka kepancing emosi. Jadi memang kayaknya sedari awal pak anies sudah niat untuk agresif utamanya juga untuk menghindari kejadian di gibran dan muhaimin ,35
@Generasi_MudaNU @gibran_tweet Baru kalini yg akun yg mengats namakan NU ngasal posting... Yg bikin perpecahan,netral,   Baru kali ini yang akun yang semangat namakan NU asal posting... Yg bikin perpecahan ,14
@Gus_Raharjo semoga keluarga pak ganjar ini selalu dilindungi mereka ga da prestasi sehingga mengusik keluarga orang lain cari celahnya doang,positif,  semoga keluarga pak ganjar ini selalu dilindungi mereka tidak sudah prestasi sehingga mengusik keluarga orang lain cari celahnya saja  ,19
@Chavesz08 Jurus andalannya setelah kalah debat 02 minim gagasan alias kosong fix rakyat Indonesia akan coblos Anis Muhaimin,netral,  Jurus andalannya setelah kalah debat 02 minim gagasan alias kosong memperbaiki rakyat Indonesia akan coblos Anis Muhaimin ,17
Gibran Pongah Ditanya Strategi Infrastruktur Sosial Gibran: Makan Siang Gratis Apapun pertanyaan nya... Jawaban nya Makan Siang Gratis Calon Wakil Presiden Mahfud MD dan Muhaimin Iskandar mengatakan Gibran Rakabuming tidak menjawab pertanyaan pada sesi pertanyaan https://t.co/hs66FK0QQK,netral, Gibran Pongah Ditanya Strategi Infrastruktur Sosial Gibran: Makan Siang Gratis Apapun pertanyaan nya... Jawaban nya Makan Siang Gratis Calon Wakil Presiden Mahfud MD dan Muhaimin Iskandar mengatakan Gibran Rakabuming tidak menjawab pertanyaan pada sesi pertanyaan  ,35
@rizooolll Insya Allah Anies Muhaimin menang satu putaran,netral,  Insya Allah Anies Muhaimin menang satu putaran ,7
@abu_waras Klo salah satu dari dia yg ada difoto tumbnag diputaran pertama... Maka jelas prabowo bakal jadi CALON PRESIDEN ABADI.... AAMMIINNN.... Buktikan prediksi saya. Golput tetap yg terbaik ,netral,  Klo salah satu dari dia yang ada difoto tumbang di putaran pertama... Maka jelas prabowo bakal jadi CALON PRESIDEN ABADI.... AAMMIINNN.... Buktikan prediksi saya. Golput tetap yang terbaik  ,28
@Epand52 Lu nya aja goblok. Nalar lu blm nyampe cil Gue yg saat ini dukung Anies aja paham maksud si samsul itu. Analogi dengan kebun bintanag bukan berarti lu jdi bintanag beneran dongo https://t.co/J5HUaAhMg9,netral,  Lu nya saja goblok. Nalar kamu belum  sampai  cil Gue yang saat ini dukung Anies saja paham maksud si samsul itu. Analogi dengan kebun bintang bukan berarti kamu jadi bintang benaran dongo  ,32
@ganjarpranowo semoga ganjar mahfud menang demi Indonesia sejahtera,positif,  semoga ganjar mahfud menang demi Indonesia sejahtera ,7
@VIVAcoid Akronim SGIE ada lebih dari 1. ChatGPT saja beda mengartikan sbgm yg dimaksud cawapres @gibran_tweet Pertanyaannya tdk sulit juga nyatanya bisa dijawab dg sangat baik oleh Gus Muhaimin @cakimiNOW https://t.co/ZtRrTMUEbs,netral,  Akronim SGIE ada lebih dari 1. ChatGPT saja beda mengartikan sebagaimana yang dimaksud cawapres  Pertanyaannya tidak sulit juga nyatanya bisa dijawab dengan  sangat baik oleh Gus Muhaimin   ,27
@m4agss @scsanjaya @rissech1 @gibran_tweet lah emg fitnah. https://t.co/rolJcJOOfw,netral,     lah memang  fitnah.  ,3
@elchanatmadja @David_Wijaya03 @03__nakula @__AnakKolong @nety_rusi @Anak__Ogi @GantineRamane @Ganjar_Mahfud03 @ex_AnakLolina @EviDrajat @chicohakim @Miduk17 @prabowo @Gerindra @psi_id @grace_nat @IsyanaBagoesOka @Uki23 @CherylTanzil @Fahrihamzah Panic ya.. capresnya dirujak terus playing victim awokwokwokwok ,netral,                     Panic ya.. capresnya dirujak terus bermain korban ha  ,8
@ganjarpranowo Pa Ganjar emang sosok capres yang the best sih Poko nya di antara pasangan capres yang lain,positif,  Pa Ganjar memang sosok capres yang itu terbaik sih Poko nya di antara pasangan capres yang lain ,17
ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,netral, ganjar pranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat -       ,12
@ekowboy2 Anies-Muhaimin pilihan cerdas untuk masa depan Indonesia yang lebih cerah. https://t.co/KVo4EYtzSI,positif,  Anies-Muhaimin pilihan cerdas untuk masa depan Indonesia yang lebih cerah.  ,10
@renandabachtar Playing victim tidak ada pernah anies menjanjikan AHY menjadi wapres anda dan partai anda yang ngotot banget ingin jadi wapres kan sudah sepakat yg memilih wapres itu pak anis dan kesepakatan bersama kalian demokrat memaksa untuk deklarasi cepat atau tdk mengancam keluar koalisi,positif,  Playing korban tidak ada pernah anies menjanjikan AHY menjadi wapres anda dan partai anda yang otot sekali  ingin jadi wapres kan sudah sepakat yang memilih wapres itu pak anies dan kesepakatan bersama kalian demokrat memaksa untuk deklarasi cepat atau tidak mengancam keluar koalisi ,43
@are_inismyname @zarryhendrik @seeksixsuck @kurawa @P4P4B0W0_2024 @99propaganda @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @florieliciouss @Kimberley_2024 Padahal data ttg lahan sudah diomongin jkw kalian diam giliran pak anies yg bilang kalian marah,positif,            Padahal data tentang  lahan sudah diomongi jokowi kalian diam giliran pak anies yang bilang kalian marah ,16
@Anaksemut4 @dLisa01 @fais21804461 Statemen nya jangan dibuat sendiri pak ini statemen anda beda sama statemen Pak Prabowo waktu di acara Mbak Najwa,netral,    Statemen nya jangan dibuat sendiri pak ini pernyataan anda beda sama pernyataan Pak Prabowo waktu di acara Mbak Najwa ,19
@FiNfie777 @Fr4nst @zy_zy_its_me Menyatakan sesuatu yg fakta bukanlah kebencian Brader. Kebencian itu kalau menyangkal Fakta seperti pengkhianatan Ganjar kepada Jokowi bahkan sekarang latah mencela nya tetapi selalu kalian bela dan sangkal. Itulah fakta kebencian kalian pada Pak Jokowi.,netral,    Menyatakan sesuatu yang fakta bukanlah kebencian Brader. Kebencian itu kalau menyangkal Fakta seperti pengkhianatan Ganjar kepada Jokowi bahkan sekarang latah mencela nya tetapi selalu kalian bela dan sangkal. Itulah fakta kebencian kalian pada Pak Jokowi. ,35
Pilih Anies dan Pak Muhaimin.. Ayo Amiinkan ajha dulu #AMINAjaDulu #AniesUnggul #PakaiOtakPakaiHati @aniesbaswedan @cakimiNOW https://t.co/mCtGvRHbFB,netral, Pilih Anies dan Pak Muhaimin.. Ayo Amiinkan saja dulu       ,9
@G_VanyJKT48 @lightnue_ @enthusiasxt @Arie_Kriting saya ga milih anies bkn karena itu,negatif,     saya tidak pilih anies bukan  karena itu ,7
@CNNIndonesia Saya pendukung Pa Anies .. kita harus akuin memang betul pertanyaannya 02 itu dangkal .. masalahnya yang dangkal itu tdk bs di jawab dengan baik .. semunya level mahasiswanya Pa Anies sampe Prof Mahfud pun ikut2an .. @aniesbaswedan @ganjarpranowo @mohmahfudmd @cakimiNOW,negatif,  Saya pendukung Pa Anies .. kita harus akui memang betul pertanyaannya 02 itu dangkal .. masalahnya yang dangkal itu tidak bisa  di jawab dengan baik .. semuanya level mahasiswanya Pa Anies sampai Prof Mahfud pun ikut ikutan ..     ,38
@deddysitorus Prasaan semua cawapres ada looo lae. Apa sadar kalo semalam gibran menang telak jadi nyerang ke hal yg ga guna gini ,netral,  Prasaan semua cawapres ada lo lae. Apa sadar kalau semalam gibran menang telak jadi serang ke hal yang tidak guna begini  ,21
@okezonenews pak Ganjar Mahfud telah berkomitmen untuk melanjutkan pembangunan yg telah dilakukan presiden Jokowi! terutama pembangunan daerah 3T,positif,  pak Ganjar Mahfud telah berkomitmen untuk melanjutkan pembangunan yang telah dilakukan presiden Jokowi! terutama pembangunan daerah 3T ,17
@Brigade01Arwan1 @aniesbaswedan Sehat selalu pak anis dan gus muhaimin... Maju terus.,positif,   Sehat selalu pak anies dan gus muhaimin... Maju terus. ,9
@ainunnajib Jelasin aja gini: bu kalo bukan pak Anies yg nanya siapa lagi? Emang ibu dan rakyat kecil lainnya berani singgung soal tanah Menhan dan kinerja dia yg ngutang terus? Itulah guna tokoh masyarakat penyambung lidah rakyat.,netral,  Jelasin saja gini: ibu kalau bukan pak Anies yang tanya  siapa lagi? Emang ibu dan rakyat kecil lainnya berani singgung soal tanah Menhan dan kinerja dia yang utang terus? Itulah guna tokoh masyarakat penyambung lidah rakyat. ,36
Dalam kepemimpinan Ganjar-Mahfud inovasi akan menjadi pilar utama dalam menghadapi tantangan global dalam perdagangan. @vitaaacyy Juara ! Pasti Lebih Baik https://t.co/OUhiLHGneC,positif, Dalam kepemimpinan Ganjar-Mahfud inovasi akan menjadi pilar utama dalam menghadapi tantangan global dalam perdagangan.  Juara ! Pasti Lebih Baik  ,19
@ZulkifliLubis69 @prabowo @gibran_tweet Balita ( bayi limapuluh tahun ),netral,    Balita ( bayi lima puluh tahun ) ,7
@marwanFC @Paltiwest Jadi norak begitu gibran ,netral,   Jadi norak begitu gibran  ,4
@KangDenZam @kopfkinolibrary Minimal malu ga sih anies aja waktu debat baw Kasus yg udah2 buat menjatuhkan Prabowo Giliran Cawapres nya digituin ngamok hahahahahhhahhahhahhaha,netral,   Minimal malu tidak sih anies saja waktu debat bawa Kasus yang sudah sudah buat menjatuhkan Prabowo Giliran Cawapres nya dibegitukan amuk ha ,22
@tirta_cipeng Kekuatan diri dlm memahami keunggulan Anies-Muhaimin memang membutuhkan kemampuan kognisi kecerdasan dan kebiasaan baik dlm berpikir. Lhah rerata IQ Indonesia saja masih under 80 butuh power luar biasa untuk memahamkan mereka. Linieritas ini akan sirna dg bonus dari Tuhan YME.,netral,  Kekuatan diri dalam  memahami keunggulan Anies-Muhaimin memang membutuhkan kemampuan kognisi kecerdasan dan kebiasaan baik dalam  berpikir. Lhah rerata IQ Indonesia saja masih di bawah 80 butuh kekuatan luar biasa untuk memahamkan mereka. Linieritas ini akan sirna dengan  bonus dari Tuhan YME. ,41
@cakimiNOW @kikysaputrii Roasting prabowo griban donnng @kikysaputrii ,netral,   Roasting prabowo gibran dong   ,4
@MustBeeajah @YogyakartaCity @FirzaHusain @KutaFree @Ganjar_Mahfud03 @seruanhl @Eil_Thia @B1nt4ng_K1r4r4 @ch_chotimah2 @Manse_Mangat @caesar_emil Walkot sapa itu coba... awokawokawok,netral,            Walkot sapa itu coba... ha ,5
@ganjarpranowo Sebagai kalangan perempuan muda jadi semakin semangat memenangkan pasangan Ganjar Mahfud,positif,  Sebagai kalangan perempuan muda jadi semakin semangat memenangkan pasangan Ganjar Mahfud ,11
Ganjar-Mahfud menawarkan solusi holistik yang melibatkan partisipasi aktif semua pihak untuk mencapai sistem perpajakan yang lebih baik. @sopayamenak1 Hebat ! Sat Set https://t.co/ZX0s6Xyjiy,positif, Ganjar-Mahfud menawarkan solusi holistik yang melibatkan partisipasi aktif semua pihak untuk mencapai sistem perpajakan yang lebih baik.  Hebat ! Sat Set  ,21
@detikcom Mas Gibran tampan rupawan,netral,  Mas Gibran tampan rupawan ,4
Pihaknya menargetkan pada Pilpres 2024 pasangan Anies - Muhaimin bakal meraih 80 persen suara di Jawa Barat yang selama ini menjadi lumbung suara PKS. #PKSMenangAMIN #PKSJabar PilihPKS CoblosAMIN,positif, Pihaknya menargetkan pada Pilpres 2024 pasangan Anies - Muhaimin bakal meraih 80 persen suara di Jawa Barat yang selama ini menjadi lumbung suara PKS.   PilihPKS CoblosAMIN ,26
@Nikmatul_Sg Banteng Merah Pilihan ku .... Layaknya api yg membara semoga semangat kita terus membara bersama Ganjar Mahfud menuju indonesia unggul .... Menuju Indonesia emas 2024 ,positif,  Banteng Merah Pilihan ku .... Layaknya api yang membara semoga semangat kita terus membara bersama Ganjar Mahfud menuju indonesia unggul .... Menuju Indonesia emas 2024  ,25
Anis Muhaimin Terdepan dan Terpercaya #AMINajaDulu #AniesUnggul #PakaiOtakPakaiHati https://t.co/oF1jhDAcaj,positif, Anis Muhaimin Terdepan dan Terpercaya     ,5
Target 0% kemiskinan ekstrem oleh Ganjar-Mahfud patut diapresiasi @pptr02 VisiMisi GanjarMahfud https://t.co/9EGNurRjHi,netral, Target 0% kemiskinan ekstrem oleh Ganjar-Mahfud patut diapresiasi  VisiMisi GanjarMahfud  ,10
@jerrysujari @FaldoMaldini @gibran_tweet Diskripsi aslinya boss .. bukan ngomentari debatnya lebih focus ke kostumnya dg memarerkan samsul sebuah trend kebodohan dengan bangganya,netral,    Diskripsi aslinya bos .. bukan komentari debatnya lebih fokus ke kostumnya dengan  memamerkan samsul sebuah tren kebodohan dengan bangganya ,19
GIBRAN ANAK MAMI SURI | KONSTITUSI MATI SURI | Ironisnya kualitas bung @Fahrihamzah jauh jauh &amp; jauh lebih baik daripada anak haram konstitusi. Namun kelebihan Gibran si Anak Mami Suri yang sekaligus Anak Haram Konstitusi itu adalah ; 1. Gibran pengen menggenggam https://t.co/9dxEVwa0xR,netral, GIBRAN ANAK MAMI SURI | KONSTITUSI MATI SURI | Ironisnya kualitas bung  jauh jauh &amp; jauh lebih baik daripada anak haram konstitusi. Namun kelebihan Gibran si Anak Mami Suri yang sekaligus Anak Haram Konstitusi itu adalah ; 1. Gibran ingin menggenggam  ,41
Ganjar-Mahfud mendorong partisipasi aktif masyarakat dalam mengawal pengelolaan keuangan negara. @Zd02519Dwi Hebat ! Pasti Lebih Baik https://t.co/uYo5ANJ2C3,positif, Ganjar-Mahfud mendorong partisipasi aktif masyarakat dalam mengawal pengelolaan keuangan negara.  Hebat ! Pasti Lebih Baik  ,15
Anies bertemu Muhaimin sebelum menuju tempat debat pamungkas. https://t.co/dUutyTAxBk,netral, Anies bertemu Muhaimin sebelum menuju tempat debat pamungkas.  ,8
pagiii sheng @CErine_JKT48,netral, pagi sayang  ,2
@tempodotco Setuju pak program makan gratis sangat membantu luar biasa pak prabowo,positif,  Setuju pak program makan gratis sangat membantu luar biasa pak prabowo ,11
Gw bisa punya prasangka macem-macem ke beliau tapi gestur seperti itu otomatis karena sudah jadi kepribadian. Gw membayangkan pak sby atau pak prabowo juga bisa gitu tapi dengan postur yang tetap tegap behave. Pak jokowi gesturnya ya kayak bapak-bapak biasa.,positif, Gw bisa punya prasangka macem-macem ke beliau tapi gestur seperti itu otomatis karena sudah jadi kepribadian. Gw membayangkan pak surabaya atau pak prabowo juga bisa begitu  tapi dengan postur yang tetap tegap behave. Pak jokowi gesturnya ya mirip  bapak-bapak biasa. ,40
@YUT4NC7 hahahahah mkmkmk ktnya pak anies yg ngebet sama gibran ternyata pak anies biasa biasa aja woeee mungkin dia tidak mau mmg mkmkmk,netral,  ha ha katanya  pak anies yang ngebet sama gibran ternyata pak anies biasa biasa saja woi mungkin dia tidak mau memang  ha ,22
@kba_news No 1 ANIES-MUHAIMIN pasti MENANG ,netral,  No 1 ANIES-MUHAIMIN pasti MENANG  ,5
@KompasTV Tepat bgt kata Prabowo sih Anies bicara etika spt orang kentut tp nuduh sampingnya....,negatif,  Tepat sekali  kata Prabowo sih Anies bicara etika seperti  orang kentut tapi menuduh sampingnya.... ,14
Anies-Muhaimin menekankan pentingnya menjaga persatuan dan kesatuan bangsa serta mengedepankan dialog dan rekonsiliasi dalam menyelesaikan masalah HAM. Mereka juga menjanjikan pemberantasan korupsi dengan mendorong keterbukaan informasi publik dan penguatan lembaga penegak hukum,positif, Anies-Muhaimin menekankan pentingnya menjaga persatuan dan kesatuan bangsa serta mengedepankan dialog dan rekonsiliasi dalam menyelesaikan masalah HAM. Mereka juga menjanjikan pemberantasan korupsi dengan mendorong keterbukaan informasi publik dan penguatan lembaga penegak hukum ,32
