full_text,sentiment,word_count,text_preprocessed
@ganjarpranowo Bismillah Ganjar Mahfud yang akan memimpin Indonesia,1,7,bismillah ganjar mahfud pimpin indonesia
@_chich23 @tesfaying @neohistoria_id Klo sepengamatanku ini strategi anis sih dia ngeliat debat sebelumnya pak prab suka kepancing emosi. Jadi memang keknya sedari awal pak anis sudah niat untuk agresif utamanya juga untuk menghindari kejadian di gibran dan muhaimin,0,35,amat strategi anies sih debat prabowo suka pancing emosi kayak sedari anies niat agresif utama hindar jadi gibran muhaimin
@Generasi_MudaNU @gibran_tweet Baru kalini yg akun yg mengats namakan NU ngasal posting... Yg bikin perpecahan,0,14,kali akun semangat nama nu posting bikin pecah
@Gus_Raharjo semoga keluarga pak ganjar ini selalu dilindungi mereka ga da prestasi sehingga mengusik keluarga orang lain cari celahnya doang,1,19,moga keluarga ganjar lindung prestasi usik keluarga orang cari celah
@Chavesz08 Jurus andalannya setelah kalah debat 02 minim gagasan alias kosong fix rakyat Indonesia akan coblos Anis Muhaimin,0,17,jurus andal kalah debat minim gagas alias kosong baik rakyat indonesia coblos anies muhaimin
Gibran Pongah Ditanya Strategi Infrastruktur Sosial Gibran: Makan Siang Gratis Apapun pertanyaan nya... Jawaban nya Makan Siang Gratis Calon Wakil Presiden Mahfud MD dan Muhaimin Iskandar mengatakan Gibran Rakabuming tidak menjawab pertanyaan pada sesi pertanyaan https://t.co/hs66FK0QQK,0,35,gibran pongah strategi infrastruktur sosial gibr makan siang gratis apa nya nya makan siang gratis calon wakil presiden mahfud md muhaimin iskandar gibr rakabuming sesi
@rizooolll Insya Allah Anies Muhaimin menang satu putaran,0,7,insya allah anies muhaimin menang putar
@abu_waras Klo salah satu dari dia yg ada difoto tumbnag diputaran pertama... Maka jelas prabowo bakal jadi CALON PRESIDEN ABADI.... AAMMIINNN.... Buktikan prediksi saya. Golput tetap yg terbaik ,0,28,salah foto tumbang putar prabowo calon presiden abadi amin bukti prediksi golput baik
@Epand52 Lu nya aja goblok. Nalar lu blm nyampe cil Gue yg saat ini dukung Anies aja paham maksud si samsul itu. Analogi dengan kebun bintanag bukan berarti lu jdi bintanag beneran dongo https://t.co/J5HUaAhMg9,0,32,nya bodoh nalar cil dukung anies paham maksud si samsul analogi kebun bintang bintang benar dongo
@ganjarpranowo semoga ganjar mahfud menang demi Indonesia sejahtera,1,7,moga ganjar mahfud menang indonesia sejahtera
@VIVAcoid Akronim SGIE ada lebih dari 1. ChatGPT saja beda mengartikan sbgm yg dimaksud cawapres @gibran_tweet Pertanyaannya tdk sulit juga nyatanya bisa dijawab dg sangat baik oleh Gus Muhaimin @cakimiNOW https://t.co/ZtRrTMUEbs,0,27,akronim sgie chatgpt beda arti cawapres tanya sulit gus muhaimin
@m4agss @scsanjaya @rissech1 @gibran_tweet lah emg fitnah. https://t.co/rolJcJOOfw,0,3,fitnah
@elchanatmadja @David_Wijaya03 @03__nakula @__AnakKolong @nety_rusi @Anak__Ogi @GantineRamane @Ganjar_Mahfud03 @ex_AnakLolina @EviDrajat @chicohakim @Miduk17 @prabowo @Gerindra @psi_id @grace_nat @IsyanaBagoesOka @Uki23 @CherylTanzil @Fahrihamzah Panic ya.. capresnya dirujak terus playing victim awokwokwokwok ,0,8,panik iya capresnya rujak main korban ha
@ganjarpranowo Pa Ganjar emang sosok capres yang the best sih Poko nya di antara pasangan capres yang lain,1,17,ganjar sosok capres baik sih pokok nya pasang capres
ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,0,12,ganjar pranowo makna kumpul satu hangat
@ekowboy2 Anies-Muhaimin pilihan cerdas untuk masa depan Indonesia yang lebih cerah. https://t.co/KVo4EYtzSI,1,10,anies muhaimin pilih cerdas indonesia cerah
@renandabachtar Playing victim tidak ada pernah anies menjanjikan AHY menjadi wapres anda dan partai anda yang ngotot banget ingin jadi wapres kan sudah sepakat yg memilih wapres itu pak anis dan kesepakatan bersama kalian demokrat memaksa untuk deklarasi cepat atau tdk mengancam keluar koalisi,1,43,main korban anies janji ahy wapres partai otot wapres sepakat pilih wapres anies sepakat demokrat paksa deklarasi cepat ancam koalisi
@are_inismyname @zarryhendrik @seeksixsuck @kurawa @P4P4B0W0_2024 @99propaganda @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @florieliciouss @Kimberley_2024 Padahal data ttg lahan sudah diomongin jkw kalian diam giliran pak anies yg bilang kalian marah,1,16,data lahan omong jokowi diam gilir anies bilang marah
@Anaksemut4 @dLisa01 @fais21804461 Statemen nya jangan dibuat sendiri pak ini statemen anda beda sama statemen Pak Prabowo waktu di acara Mbak Najwa,0,19,nyata nya nyata beda nyata prabowo acara mbak najwa
@FiNfie777 @Fr4nst @zy_zy_its_me Menyatakan sesuatu yg fakta bukanlah kebencian Brader. Kebencian itu kalau menyangkal Fakta seperti pengkhianatan Ganjar kepada Jokowi bahkan sekarang latah mencela nya tetapi selalu kalian bela dan sangkal. Itulah fakta kebencian kalian pada Pak Jokowi.,0,35,fakta benci saudara benci sangkal fakta khianat ganjar jokowi latah cela nya bela sangkal fakta benci jokow
Pilih Anies dan Pak Muhaimin.. Ayo Amiinkan ajha dulu #AMINAjaDulu #AniesUnggul #PakaiOtakPakaiHati @aniesbaswedan @cakimiNOW https://t.co/mCtGvRHbFB,0,9,pilih anies muhaimin ayo amin
@G_VanyJKT48 @lightnue_ @enthusiasxt @Arie_Kriting saya ga milih anies bkn karena itu,-1,7,pilih anies
@CNNIndonesia Saya pendukung Pa Anies .. kita harus akuin memang betul pertanyaannya 02 itu dangkal .. masalahnya yang dangkal itu tdk bs di jawab dengan baik .. semunya level mahasiswanya Pa Anies sampe Prof Mahfud pun ikut2an .. @aniesbaswedan @ganjarpranowo @mohmahfudmd @cakimiNOW,-1,38,dukung anies akui tanya dangkal dangkal level mahasiswa anies profesor mahfud ikut
@deddysitorus Prasaan semua cawapres ada looo lae. Apa sadar kalo semalam gibran menang telak jadi nyerang ke hal yg ga guna gini ,0,21,asa cawapres lo lae sadar malam gibran menang telak serang
@okezonenews pak Ganjar Mahfud telah berkomitmen untuk melanjutkan pembangunan yg telah dilakukan presiden Jokowi! terutama pembangunan daerah 3T,1,17,ganjar mahfud komitmen lanjut bangun presiden jokowi bangun daerah triliun
@Brigade01Arwan1 @aniesbaswedan Sehat selalu pak anis dan gus muhaimin... Maju terus.,1,9,sehat anies gus muhaimin maju
@ainunnajib Jelasin aja gini: bu kalo bukan pak Anies yg nanya siapa lagi? Emang ibu dan rakyat kecil lainnya berani singgung soal tanah Menhan dan kinerja dia yg ngutang terus? Itulah guna tokoh masyarakat penyambung lidah rakyat.,0,36,anies rakyat berani singgung tanah menhan kinerja utang tokoh masyarakat penyambung lidah rakyat
Dalam kepemimpinan Ganjar-Mahfud inovasi akan menjadi pilar utama dalam menghadapi tantangan global dalam perdagangan. @vitaaacyy Juara ! Pasti Lebih Baik https://t.co/OUhiLHGneC,1,19,pimpin ganjar mahfud inovasi pilar utama hadap tantang global dagang juara
@ZulkifliLubis69 @prabowo @gibran_tweet Balita ( bayi limapuluh tahun ),0,7,balita bayi puluh
@marwanFC @Paltiwest Jadi norak begitu gibran ,0,4,norak gibran
@KangDenZam @kopfkinolibrary Minimal malu ga sih anies aja waktu debat baw Kasus yg udah2 buat menjatuhkan Prabowo Giliran Cawapres nya digituin ngamok hahahahahhhahhahhahhaha,0,22,minimal malu sih anies debat bawa jatuh prabowo gilir cawapres nya begitu amuk ha
@tirta_cipeng Kekuatan diri dlm memahami keunggulan Anies-Muhaimin memang membutuhkan kemampuan kognisi kecerdasan dan kebiasaan baik dlm berpikir. Lhah rerata IQ Indonesia saja masih under 80 butuh power luar biasa untuk memahamkan mereka. Linieritas ini akan sirna dg bonus dari Tuhan YME.,0,41,kuat paham unggul anies muhaimin butuh mampu kognisi cerdas biasa pikir rerata iq indonesia butuh kuat paham linieritas sirna bonus tuhan paha esa
@cakimiNOW @kikysaputrii Roasting prabowo griban donnng @kikysaputrii ,0,4,panggang prabowo gibran
@MustBeeajah @YogyakartaCity @FirzaHusain @KutaFree @Ganjar_Mahfud03 @seruanhl @Eil_Thia @B1nt4ng_K1r4r4 @ch_chotimah2 @Manse_Mangat @caesar_emil Walkot sapa itu coba... awokawokawok,0,5,walikota sapa coba ha
@ganjarpranowo Sebagai kalangan perempuan muda jadi semakin semangat memenangkan pasangan Ganjar Mahfud,1,11,kalang perempuan muda semangat menang pasang ganjar mahfud
Ganjar-Mahfud menawarkan solusi holistik yang melibatkan partisipasi aktif semua pihak untuk mencapai sistem perpajakan yang lebih baik. @sopayamenak1 Hebat ! Sat Set https://t.co/ZX0s6Xyjiy,1,21,ganjar mahfud tawar solusi holistik libat partisipasi aktif capai sistem paja hebat sat set
@detikcom Mas Gibran tampan rupawan,0,4,mas gibran tampan rupawan
Pihaknya menargetkan pada Pilpres 2024 pasangan Anies - Muhaimin bakal meraih 80 persen suara di Jawa Barat yang selama ini menjadi lumbung suara PKS. #PKSMenangAMIN #PKSJabar PilihPKS CoblosAMIN,1,26,target pilpres pasang anies muhaimin raih persen suara jawa barat lumbung suara pks pilih pks coblos amin
@Nikmatul_Sg Banteng Merah Pilihan ku .... Layaknya api yg membara semoga semangat kita terus membara bersama Ganjar Mahfud menuju indonesia unggul .... Menuju Indonesia emas 2024 ,1,25,banteng merah pilih ku layak api bara moga semangat bara ganjar mahfud indonesia unggul indonesia emas
Anis Muhaimin Terdepan dan Terpercaya #AMINajaDulu #AniesUnggul #PakaiOtakPakaiHati https://t.co/oF1jhDAcaj,1,5,anies muhaimin dep percaya
Target 0% kemiskinan ekstrem oleh Ganjar-Mahfud patut diapresiasi @pptr02 VisiMisi GanjarMahfud https://t.co/9EGNurRjHi,0,10,target miskin ekstrem ganjar mahfud patut apresiasi visi misi ganjar memahfud
@jerrysujari @FaldoMaldini @gibran_tweet Diskripsi aslinya boss .. bukan ngomentari debatnya lebih focus ke kostumnya dg memarerkan samsul sebuah trend kebodohan dengan bangganya,0,19,deskripsi asli bos komentar debat fokus kostum pamer samsul tren bodoh bangga
GIBRAN ANAK MAMI SURI | KONSTITUSI MATI SURI | Ironisnya kualitas bung @Fahrihamzah jauh jauh &amp; jauh lebih baik daripada anak haram konstitusi. Namun kelebihan Gibran si Anak Mami Suri yang sekaligus Anak Haram Konstitusi itu adalah ; 1. Gibran pengen menggenggam https://t.co/9dxEVwa0xR,0,41,gibran anak mama suri konstitusi mati suri ironis kualitas anak haram konstitusi lebih gibr si anak mama suri anak haram konstitusi gibr genggam
Ganjar-Mahfud mendorong partisipasi aktif masyarakat dalam mengawal pengelolaan keuangan negara. @Zd02519Dwi Hebat ! Pasti Lebih Baik https://t.co/uYo5ANJ2C3,1,15,ganjar mahfud dorong partisipasi aktif masyarakat awal kelola uang negara hebat
Anies bertemu Muhaimin sebelum menuju tempat debat pamungkas. https://t.co/dUutyTAxBk,0,8,anies bertemu muhaimin debat pamungkas
pagiii sheng @CErine_JKT48,0,2,pagi sayang
@tempodotco Setuju pak program makan gratis sangat membantu luar biasa pak prabowo,1,11,tuju program makan gratis bantu prabowo
Gw bisa punya prasangka macem-macem ke beliau tapi gestur seperti itu otomatis karena sudah jadi kepribadian. Gw membayangkan pak sby atau pak prabowo juga bisa gitu tapi dengan postur yang tetap tegap behave. Pak jokowi gesturnya ya kayak bapak-bapak biasa.,1,40,prasangka macem beliau gestur otomatis pribadi bayang surabaya prabowo postur tegap berperilaku jokowi gesturnya iya
@YUT4NC7 hahahahah mkmkmk ktnya pak anies yg ngebet sama gibran ternyata pak anies biasa biasa aja woeee mungkin dia tidak mau mmg mkmkmk,0,22,ha ha anies ngebet gibran anies woi ha
@kba_news No 1 ANIES-MUHAIMIN pasti MENANG ,0,5,anies muhaimin menang
@KompasTV Tepat bgt kata Prabowo sih Anies bicara etika spt orang kentut tp nuduh sampingnya....,-1,14,prabowo sih anies bicara etika orang kentut tuduh samping
Anies-Muhaimin menekankan pentingnya menjaga persatuan dan kesatuan bangsa serta mengedepankan dialog dan rekonsiliasi dalam menyelesaikan masalah HAM. Mereka juga menjanjikan pemberantasan korupsi dengan mendorong keterbukaan informasi publik dan penguatan lembaga penegak hukum,1,32,anies muhaimin tekan jaga satu satu bangsa mengedepankan dialog rekonsiliasi selesai ham janji berantas korupsi dorong buka informasi publik kuat lembaga tegak hukum
@Dennysiregar7 Yaki kalau pak Ganjar dan pak Mahfud tidak dikuasai oleh partai? Apa belum mengerti juga apa yg kader partai lakukan selama ini untuk negara dan rakyat sebagai wakil yg di beri amanah?,-1,32,ganjar mahfud asai partai mengerti kader partai laku negara rakyat wakil amanah
@VIVAcoid Mengagumkan melihat Prabowo dan Gibran bersatu untuk menggarisbawahi pentingnya fasilitas kesehatan sebagai benteng pertahanan. Inisiatif ini mencerminkan kesadaran mendalam akan kesejahteraan masyarakat,0,23,kagum prabowo gibran satu garis bawah fasilitas sehat benteng tahan inisiatif cermin sadar dalam sejahtera masyarakat
@tvOneNews Tolol dan Bodoh nya kerasa sampe sini udah jelas AMIN dan AAMIIN itu beda arti beda makna segitu takut nya ya Anies jadi presiden sampe hal sepele aja di permasalah kan ,0,31,bodoh bodoh nya rasa amin amin beda arti beda makna takut nya iya anies presiden sepele masa
@kurawa Ngga ada perlawanan...gue pikir si mentri menguasai panggung ngga tahunya dibantai sama p. Anies dan Ganjar...awas asam urat kumat !! ,0,20,lawan pikir si menteri kuasa panggung tahu bantai anies ganjar awas asam urat kumat
@ajengcute16__ Yang pasti aku dan keluargaku pilih Anis dan Muhaimin No 1. https://t.co/YEd66RxL8O,0,11,keluarga pilih anies muhaimin
@Metro_TV Tetap mas gibran yang paling okedongg,0,7,mas gibran oke
@GirlBieberJ @jokowi @ganjarpranowo @prabowo @gibran_tweet @Gerindra @golkar_id @Official_PAN @PDemokrat @Nduklala2 @kpgnj @assaff_koto Salam 1 Jari membawa kedamaian,0,5,salam jari bawa damai
Capres dan Cawapres nomor urut 1 Anies Baswedan dan Muhaimin Iskandar bertemu di one three cafe sebelum berangkat menuju JCC Arena untuk Debat Capres ke 5. (Ard) #BeritaElshinta https://t.co/3C50Jcyo0R,0,27,capres cawapres nomor urut anies baswedan muhaimin iskandar bertemu kafe berangkat jcc arena debat capres ard
Keterampilan hukum Pak Mahfud akan menjadi payung hukum yang kuat bagi keberlanjutan investasi di era Ganjar-Mahfud. @vitovxv Top ! Pasti Lebih Baik https://t.co/s4Q29K6w1p,1,21,terampil hukum mahfud payung hukum kuat lanjut investasi era ganjar memahfud top
KUMPULAN MOMEN ASIK GANJAR HADAPI ANIES &amp; PRABOWO DI DEBAT KETIGA RESPECT PAK KETUA PENGUIN @ganjarpranowo #GasssGanjarMahfud #GanjarMahfud2024 https://t.co/vD4eocUYm5,0,15,kumpul momen asyik ganjar hadap anies prabowo debat tiga respek ketua penguin
Selamat pagi warga X-land gmn selesai nonton debat smlm ⏩masih deg an? ⏩Sesak nafas ? ⏩Jantungan? ⏩ikut kebawa emosi ? ⏩...... ANIES ROCKS DEBAT CAPRES #DebatCapres #Anies2ndStage #HwaitingAbahAnies https://t.co/ZEBaZbU4hW,1,25,selamat pagi warga kali tanah selesai tonton debat malam deg an sesak nafas jantung bawa emosi anies rocks debat capres
@Gus_Raharjo @ganjarpranowo @mohmahfudmd Semangat pantengi debat semangat kasih dukungan untuk pak ganjar #GanjarMahfud2024 #GanjarMahfudM3nangDebat,1,9,semangat pantang debat semangat kasih dukung ganjar
@stumbfle @semestaa_alam @Gerindra @gibran_tweet engga nyambung blokk blokk,0,4,sambung blok blokk
@Dahnilanzar @jokowi @prabowo @gibran_tweet Nil Nil.... banguuun. Tidurmu terlalu miring..,0,6,nil nil bangun tidur miring
@GeiszChalifah Maksudnya gestur muka kayak gitu kenapa ya..,0,7,maksud gestur muka iya
@RepublicWakanda @elisa_jkt Prabowo aja ngiranya si gibran bahas ekonomi,0,7,prabowo si gibran bahas ekonomi
@kumparan bandung siap dukung ganjar mahfud ,0,5,bandung dukung ganjar mahfud
Ganjar-Mahfud menawarkan solusi konkret untuk menyederhanakan formulir dan prosedur pembayaran pajak bagi warga. @stztwice Juara ! Pasti Lebih Baik https://t.co/moNzxHlFsk,1,18,ganjar mahfud tawar solusi konkret sederhana formulir prosedur bayar pajak warga juara
 Kalau solid pasti yakin Pak Anies dan Pak Muhaimin menang 🇮🇩 #AniesMuhaimin2024 #AMINkanIndonesia https://t.co/kY3ZtM8rvH,1,11,solid anies muhaimin menang
@voiceofpkb @aniesbaswedan Jawaban pak anies paling masuk akal #AMINUnggulDebatCapres #AMINUnggulDebatCapres,1,6,anies masuk akal
@Chavesz08 Saya gak punya apa-apa mas Anies saya orang miskin mas Anies saya rela mati untuk bangsa ini saya tidak takut tidak punya jabatan mas anies,0,26,mas anies orang miskin mas anies rela mati bangsa takut jabat mas anies
@A4H74976106 @kumparan Di video awal yg pas pake baju ungu betina itu hanya sebut nama Pak Rosan dalam ceritanya mengenai masa jabatan Pak Prabowo kalo menjadi Presiden tapi di keterangan tertulisnya dia seret2 nama hasto kristiyanto buat penguat alibinya somplak nih betina,0,41,video pas pakai baju ungu betina nama rosan cerita jabat prabowo presiden terang tulis seret seret nama hasto kristiyanto kuat alibi somplak ini betina
Ganjar-Mahfud ingin mengubah stigma negatif terhadap pembayaran pajak menjadi tindakan yang positif dan patut dicontoh. @soonflows Top ! Pasti Lebih Baik https://t.co/lBUwQfqsvl,1,20,ganjar mahfud ubah stigma negatif bayar pajak tindakan positif patut contoh top
@sukardiyahya162 Secara hukum sah baik di MK maupun di KPU tapi sudah ada keputusan MKMK dan DKPP bahwa prosesnya cacat etika keputusan pemberhentian jabatan sebagai Ketua MK dan yg satunya peringatan keras terakhir kpd Ketua KPU terkait etika pelolosan pendaftaran Gibran,0,40,hukum sah kpu putus mkmk dkpp proses cacat etika putus henti jabat ketua satu ingat keras ketua kpu kait etika pelolosan daftar gibran
@SINDOnews Mantap pak ganjar,1,3,mantap ganjar
Slepet-slepet dan omong kosong Muhaimin tak memberikan keyakinan bahwa ia bisa memimpin dengan bijak @BasskyyA #DebatCawapres | Selamat Hari Ibu | Pak Mahfud | Mas Gibran | Cak Imin | #DesakAnies https://t.co/VqPTzUI2dl,-1,28,slepet slepet omong kosong muhaimin yakin pimpin bijak selamat mahfud mas gibran cak imin
@Arie_Kriting pilihanku semakin mengerucut antara anies cak imin atau ganjar mahfud,1,10,pilih kerucut anies cak imin ganjar mahfud
@bengkeldodo Dalam hal ini saya harus akui dan lebih setuju dengan Pendapatnya pak @prabowo karena masalah di Papua tidak bisa dilihat dari dalam saja. Untuk capres yg paling faham dgn Geopolitik di antara ketiga paslon sy akui pak Prabowo orangnya.,0,38,akui tuju dapat papua capres paham geopolitik tiga paslon akui prabowo orang
